r,sequence,timestamp,endpoint,deg,deg/sec,mA,grip/rotation,torque,force,ori,#
m,90,90,412.4175552130003/-387.8812154327451/-102.60089054780897,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,91,91,412.5170301903873/-388.1888766536567/-98.62905877716051,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,92,92,412.56974103015204/-388.5812606374232/-95.5110598028901,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,93,93,412.5753134091143/-389.0713237483249/-93.56748406363015,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,94,94,412.5582490635087/-389.6138246338704/-92.23407331995128,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,95,95,412.52890392942714/-390.17469238068196/-90.91542678855635,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,96,96,412.43750341473196/-390.7728368299658/-89.01775298867122,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,97,97,412.2221990254653/-391.4390984455408/-85.9790978823059,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,98,98,411.9041360660861/-392.16744348522303/-82.11927750376123,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,99,99,411.59671645848084/-392.91084852348996/-78.73829105487386,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,100,100,411.37976498019316/-393.6385148834516/-76.81313699366062,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,101,101,411.13705325980067/-394.4134212100863/-75.4101284326136,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,102,102,410.6937280832581/-395.3262415710677/-73.01556584614181,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,103,103,410.04294050091795/-396.3719306469083/-69.3686543013766,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,104,104,409.40892356879306/-397.4137888952379/-65.93199351413467,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,105,105,408.9794333350892/-398.33932220641873/-63.98296707282834,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,106,106,408.5930009737356/-399.2574392200698/-62.76357828458756,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,107,107,407.9504158456357/-400.364250563837/-60.70982142675639,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,108,108,406.98194505299006/-401.70057270004406/-57.34117912497728,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,109,109,406.0103439458626/-403.04164223834437/-54.03101300031867,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,110,110,405.3415556077577/-404.17563026721643/-52.11469147837248,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,111,111,404.8118308683801/-405.22179024089604/-51.06151495393325,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,112,112,404.02136623724573/-406.4657443712757/-49.402292166041725,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,113,113,402.8007699150529/-408.02651162419875/-46.46885054521116,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,114,114,401.4758680177347/-409.66510593196733/-43.316566753595325,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,115,115,400.40783087801935/-411.11712178008753/-41.12707316342863,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,116,116,399.6400038348919/-412.34939956121354/-40.01235574999919,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,117,117,399.01553160812404/-413.4744479106982/-39.410760516471385,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,118,118,398.3547208323626/-414.6240493509245/-38.765737261079536,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,119,119,397.4249838474762/-415.9756008540346/-37.56263373150946,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,120,120,396.01123210124365/-417.6939641695886/-35.351802963781054,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,121,121,394.30011310129424/-419.6366242453832/-32.5710931644838,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,122,122,392.79193176647493/-421.42108007284776/-30.351268990481564,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,123,123,391.78963584439896/-422.81582136210795/-29.388706016492335,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,124,124,390.89624255059147/-424.1248305947462/-28.838981483174248,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,125,125,389.58544350354856/-425.75101590964954/-27.572650929276545,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
