deg,endpoint
96.299/0.0/1.425/-10.95,-14.633/686.616/7.815
96.283/0.0/1.429/-10.953,-14.43/686.618/7.836
96.268/0.0/1.433/-10.955,-14.231/686.62/7.857
96.253/0.0/1.437/-10.958,-14.037/686.622/7.878
96.238/0.0/1.44/-10.96,-13.849/686.624/7.898
96.224/0.0/1.444/-10.963,-13.665/686.626/7.917
96.21/0.0/1.448/-10.965,-13.486/686.628/7.936
96.196/0.0/1.451/-10.967,-13.311/686.63/7.954
96.183/0.0/1.454/-10.969,-13.142/686.631/7.972
96.171/0.0/1.457/-10.972,-12.977/686.633/7.99
96.158/0.0/1.46/-10.974,-12.816/686.634/8.007
96.146/0.0/1.463/-10.976,-12.66/686.635/8.023
96.134/0.0/1.466/-10.978,-12.509/686.637/8.039
96.123/0.0/1.469/-10.98,-12.362/686.638/8.055
96.112/0.0/1.472/-10.981,-12.22/686.639/8.07
96.101/0.0/1.475/-10.983,-12.082/686.64/8.085
96.091/0.0/1.477/-10.985,-11.948/686.641/8.099
96.081/0.0/1.48/-10.987,-11.818/686.642/8.112
96.071/0.0/1.482/-10.988,-11.693/686.643/8.126
96.062/0.0/1.485/-10.99,-11.572/686.643/8.138
96.053/0.0/1.487/-10.991,-11.454/686.644/8.151
96.044/0.0/1.489/-10.993,-11.341/686.645/8.163
96.035/0.0/1.491/-10.994,-11.232/686.646/8.174
96.027/0.0/1.493/-10.995,-11.127/686.646/8.185
96.019/0.0/1.495/-10.997,-11.026/686.647/8.196
96.012/0.0/1.497/-10.998,-10.928/686.647/8.206
96.005/0.0/1.499/-10.999,-10.835/686.648/8.216
95.998/0.0/1.501/-11.0,-10.745/686.649/8.226
95.991/0.0/1.502/-11.001,-10.659/686.649/8.235
95.985/0.0/1.504/-11.003,-10.576/686.649/8.244
95.979/0.0/1.505/-11.004,-10.497/686.65/8.252
95.973/0.0/1.507/-11.005,-10.422/686.65/8.26
95.967/0.0/1.508/-11.005,-10.35/686.651/8.268
95.962/0.0/1.51/-11.006,-10.281/686.651/8.275
95.957/0.0/1.511/-11.007,-10.216/686.651/8.282
95.952/0.0/1.512/-11.008,-10.154/686.651/8.288
95.947/0.0/1.513/-11.009,-10.096/686.652/8.294
95.943/0.0/1.514/-11.009,-10.04/686.652/8.3
95.939/0.0/1.515/-11.01,-9.988/686.652/8.306
95.935/0.0/1.516/-11.011,-9.939/686.652/8.311
95.932/0.0/1.517/-11.011,-9.893/686.653/8.316
95.928/0.0/1.518/-11.012,-9.85/686.653/8.32
95.925/0.0/1.519/-11.012,-9.81/686.653/8.325
95.922/0.0/1.519/-11.013,-9.773/686.653/8.329
95.92/0.0/1.52/-11.013,-9.739/686.653/8.332
95.917/0.0/1.521/-11.014,-9.707/686.653/8.336
95.915/0.0/1.521/-11.014,-9.679/686.654/8.339
95.913/0.0/1.522/-11.014,-9.653/686.654/8.341
95.911/0.0/1.522/-11.015,-9.63/686.654/8.344
95.91/0.0/1.523/-11.015,-9.609/686.654/8.346
95.908/0.0/1.523/-11.015,-9.591/686.654/8.348
95.907/0.0/1.523/-11.015,-9.575/686.654/8.349
