r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,12079,450432,1/101/26/90,0/0/0/0,-229/2267/620/-126,534/-11/262,0/0,96/-1128/-13550,-588/337/290,-7/-371/-14,#r_sy
r,12080,450466,1/101/26/90,0/0/0/0,-229/2272/625/-130,534/-11/262,0/0,68/-1166/-13564,-587/335/291,-7/-371/-14,#r_sy
r,12081,450498,1/101/26/90,0/0/0/0,-228/2268/624/-126,534/-11/262,0/0,2/-1222/-13610,-593/337/293,-7/-371/-14,#r_sy
s,0,#r_sy
r,12082,450532,1/101/26/90,0/-2/0/0,-229/2056/622/-130,534/-11/262,0/0,-64/-1268/-13614,-591/334/302,-7/-371/-14,#r_sy
r,12083,450566,1/101/26/90,0/-10/0/0,-229/2018/617/-131,534/-11/261,0/0,-82/-1274/-13582,-577/326/298,-6/-370/-14,#r_sy
r,12084,450604,1/101/26/90,0/-24/0/0,-229/1981/624/-130,535/-11/260,0/0,-104/-1272/-13606,-577/324/301,-6/-369/-14,#r_sy
r,12085,450645,1/100/26/90,0/-29/0/0,-229/1950/620/-131,535/-11/259,0/0,-154/-1316/-13716,-599/335/298,-6/-368/-14,#r_sy
r,12086,450685,1/100/26/90,0/-43/-8/0,-228/1891/470/-129,536/-11/257,0/0,-172/-1348/-13734,-598/333/294,-6/-366/-14,#r_sy
r,12087,450725,1/100/26/90,0/-87/-15/0,-229/1837/387/-127,537/-11/254,0/0,-164/-1296/-13720,-586/325/295,-6/-364/-14,#r_sy
r,12088,450765,1/100/26/90,0/-65/-18/0,-228/1908/315/-130,539/-11/251,0/0,-190/-1304/-13752,-584/324/304,-6/-360/-14,#r_sy
r,12089,450804,1/99/26/90,0/-121/-40/0,-229/1997/308/-126,540/-11/246,0/0,-166/-1344/-13800,-595/332/297,-6/-355/-14,#r_sy
r,12090,450844,1/99/26/90,0/-117/-61/0,-229/1931/330/-128,542/-11/240,0/0,-108/-1278/-13814,-592/331/294,-6/-349/-14,#r_sy
r,12091,450885,1/98/26/90,0/-134/-36/0,-229/1934/280/-130,545/-11/234,0/0,-18/-1140/-13898,-605/339/297,-6/-342/-14,#r_sy
r,12092,450925,1/98/26/90,0/-141/-49/0,-229/1830/263/-131,547/-11/226,0/0,96/-974/-13814,-584/327/295,-6/-334/-13,#r_sy
r,12093,450965,1/97/25/90,0/-182/-80/0,-230/1810/260/-128,550/-11/218,0/0,200/-818/-13703,-551/309/310,-5/-325/-13,#r_sy
r,12094,451005,1/96/25/90,0/-172/-64/0,-230/1876/276/-128,553/-11/209,0/0,316/-746/-13830,-573/326/302,-5/-315/-13,#r_sy
