r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#l_sy
r,16833,622288,-10/88/31/51,2/273/0/-1,526/2792/553/50,465/-309/106,0/0,1148/616/-12336,-363/156/285,59/-286/-518,#l_sy
r,16834,622324,-10/89/31/51,1/254/0/-1,537/2748/553/72,463/-309/116,0/0,1158/606/-12250,-351/148/274,62/-295/-519,#l_sy
r,16835,622361,-10/90/31/51,1/264/0/-1,534/2786/554/-88,462/-308/126,0/0,1188/708/-12332,-407/175/281,64/-305/-520,#l_sy
r,16836,622401,-10/91/31/51,0/254/0/0,533/2773/552/-96,460/-308/136,0/0,1292/676/-12040,-372/161/238,67/-315/-521,#l_sy
r,16837,622441,-10/92/31/51,-2/263/0/0,84/2797/553/-43,458/-307/146,0/0,1272/918/-11986,-426/184/274,69/-325/-523,#l_sy
r,16838,622482,-10/93/31/51,-2/254/0/0,78/2775/551/290,456/-307/156,0/0,1334/920/-11674,-380/156/237,72/-334/-524,#l_sy
r,16839,622521,-10/94/31/51,0/256/0/0,25/2763/554/298,453/-307/166,0/0,1222/1074/-11708,-430/176/279,75/-344/-526,#l_sy
r,16840,622561,-10/95/31/51,0/257/0/-2,98/2834/552/-94,451/-306/176,0/0,1260/1150/-11356,-375/140/270,78/-354/-528,#l_sy
r,16841,622601,-10/96/31/51,0/238/0/0,311/2810/554/-18,448/-305/186,0/0,1296/1218/-11414,-411/164/280,81/-364/-529,#l_sy
r,16842,622641,-10/97/31/51,1/274/0/0,324/2824/554/7,446/-305/197,0/0,1316/1082/-11394,-403/165/282,84/-374/-531,#l_sy
r,16843,622681,-10/98/31/51,0/273/0/0,324/2766/555/308,442/-304/208,0/0,1448/950/-11388,-402/167/269,87/-385/-533,#l_sy
r,16844,622721,-10/99/31/51,1/273/0/0,325/2814/553/297,439/-303/218,0/0,1524/947/-11494,-429/192/291,90/-396/-535,#l_sy
r,16845,622761,-10/100/31/51,0/274/0/0,319/2789/552/372,435/-302/229,0/0,1660/696/-11442,-399/181/249,94/-407/-538,#l_sy
s,0,#l_sy
r,16846,622801,-10/101/31/51,-1/280/0/0,99/2792/554/207,431/-301/240,0/0,1650/598/-11620,-429/201/262,98/-417/-540,#l_sy
r,16847,622841,-10/102/31/51,0/265/0/0,46/2769/553/72,427/-301/250,0/0,1648/648/-11710,-447/207/288,102/-428/-543,#l_sy
r,16848,622881,-10/103/31/51,0/238/0/0,296/2779/554/201,424/-300/260,0/0,1656/490/-11634,-398/175/280,105/-438/-545,#l_sy
r,16849,622921,-10/105/31/51,0/253/0/3,309/2800/551/265,420/-299/270,0/0,1604/532/-11890,-447/195/305,109/-448/-548,#l_sy
r,16850,622961,-10/106/31/51,0/259/0/2,525/2792/552/271,415/-298/279,0/0,1460/580/-11790,-411/166/337,113/-458/-550,#l_sy
r,16851,622993,-10/106/31/51,4/237/0/1,327/2793/553/430,414/-297/283,0/0,1380/646/-11872,-430/168/356,115/-463/-552,#l_sy
r,16852,623027,-10/107/31/51,3/244/0/7,525/2784/552/453,409/-296/292,0/0,1430/548/-11712,-384/141/332,118/-472/-554,#l_sy
r,16853,623061,-10/108/31/51,2/248/0/13,529/2781/552/455,406/-295/301,0/0,1414/536/-11796,-403/150/343,122/-481/-556,#l_sy
r,16854,623093,-10/108/31/51,1/242/0/23,520/2779/551/468,403/-294/306,0/0,1404/606/-11550,-355/118/351,124/-486/-557,#l_sy
r,16855,623127,-10/109/31/51,0/264/0/29,311/2784/551/465,399/-293/314,0/0,1346/616/-11548,-367/122/373,129/-495/-560,#l_sy
r,16856,623161,-10/110/31/51,0/243/0/30,298/2759/553/509,395/-292/323,0/0,1446/556/-11446,-349/114/339,133/-504/-562,#l_sy
r,16857,623193,-10/111/31/51,-3/259/0/24,113/2693/554/523,393/-291/327,0/0,1418/544/-11422,-343/113/365,135/-509/-563,#l_sy
r,16858,623234,-10/112/31/51,-1/253/0/30,89/2675/551/484,389/-289/336,0/0,1562/380/-11316,-325/111/313,140/-518/-565,#l_sy
r,16859,623273,-10/113/31/51,0/215/0/55,21/2699/554/505,385/-288/345,0/0,1400/364/-11272,-319/103/362,145/-527/-568,#l_sy
r,16860,623313,-10/114/31/51,0/246/0/58,284/2685/553/535,381/-286/353,0/0,1516/166/-11180,-283/89/309,150/-536/-570,#l_sy
r,16861,623353,-10/115/31/52,3/220/0/58,507/2698/553/566,376/-284/362,0/0,1440/148/-11344,-322/109/338,155/-545/-572,#l_sy
r,16862,623393,-10/116/31/52,1/229/0/61,530/2717/552/560,371/-282/370,0/0,1518/-104/-11188,-257/82/283,160/-554/-574,#l_sy
