r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,16381,605230,0/66/38/61,-75/267/0/0,-447/2566/486/68,528/153/-86,0/0,1592/856/-12194,-493/312/283,0/-134/287,#r_sy
r,16382,605263,0/66/38/61,-92/284/0/0,-412/2609/486/68,528/155/-80,0/0,1650/784/-12058,-465/300/260,0/-140/289,#r_sy
r,16383,605297,0/68/38/61,-118/281/0/0,-440/2625/486/67,528/159/-67,0/0,1608/700/-12154,-500/320/270,1/-152/293,#r_sy
r,16384,605331,-1/69/38/61,-62/294/0/0,-459/2666/487/68,529/163/-55,0/0,1528/588/-12064,-479/310/268,2/-163/297,#r_sy
r,16385,605364,-1/69/38/61,-93/300/0/0,-412/2649/486/66,529/165/-49,0/0,1426/654/-12176,-511/321/295,2/-169/299,#r_sy
r,16386,605398,-1/70/38/61,-70/298/0/0,-386/2679/486/67,529/168/-36,0/0,1346/658/-11976,-460/292/302,4/-181/303,#r_sy
r,16387,605433,-2/72/38/61,-55/303/0/0,-398/2706/485/69,528/172/-23,0/0,1314/714/-12130,-511/319/314,5/-192/306,#r_sy
r,16388,605472,-2/73/38/61,-60/287/0/0,-425/2720/551/66,528/175/-11,0/0,1226/496/-12072,-492/309/294,7/-204/310,#r_sy
r,16389,605512,-2/74/38/61,-66/288/0/0,-398/2679/554/67,527/178/1,0/0,1204/434/-12092,-492/308/289,8/-216/313,#r_sy
r,16390,605552,-2/75/38/61,-50/300/0/0,-415/2800/554/67,526/181/14,0/0,1082/482/-12062,-487/302/318,10/-228/316,#r_sy
r,16391,605591,-3/76/38/61,-58/293/0/0,-355/2810/554/70,525/184/26,0/0,980/560/-11992,-477/294/348,12/-239/319,#r_sy
r,16392,605632,-3/78/38/61,-48/280/0/0,-413/2778/553/64,523/187/39,0/0,918/506/-11964,-470/285/359,14/-251/322,#r_sy
r,16393,605673,-3/79/38/61,-69/286/0/0,-359/2804/553/66,522/189/51,0/0,872/352/-12022,-489/296/345,16/-262/325,#r_sy
r,16394,605712,-4/80/38/61,-67/261/0/0,-377/2774/553/69,521/191/63,0/0,780/278/-11944,-465/282/355,18/-273/328,#r_sy
