r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#l_sy
r,22033,812573,-1/54/41/90,70/310/0/24,305/2422/486/-1735,534/10/-193,0/0,-814/3866/-12650,-740/276/293,0/-44/29,#l_sy
r,22034,812613,-1/55/41/90,93/308/0/-76,378/2452/485/-1384,537/12/-179,0/0,-664/3598/-12726,-751/292/232,0/-56/31,#l_sy
r,22035,812651,-1/56/41/90,84/323/0/-86,375/2405/486/-1213,540/13/-166,0/0,-220/3256/-12608,-710/290/172,0/-69/30,#l_sy
r,22036,812688,0/58/41/90,86/333/0/-169,420/2539/486/-739,544/13/-151,0/0,-44/3136/-12740,-747/317/232,0/-82/27,#l_sy
r,22037,812731,0/59/41/90,96/337/0/-153,409/2525/486/-520,546/13/-136,0/0,22/2886/-12596,-728/313/307,0/-96/23,#l_sy
r,22038,812768,0/60/41/90,105/334/0/-164,433/2600/550/-535,549/13/-121,0/0,-88/3014/-12650,-769/321/469,0/-110/19,#l_sy
s,0,#l_sy
r,22039,812808,1/62/41/90,111/338/0/-190,399/2607/550/-516,551/14/-106,0/0,12/2888/-12636,-776/322/532,-2/-123/17,#l_sy
r,22040,812848,1/63/41/90,151/345/0/-150,397/2672/551/-532,553/17/-91,0/0,282/2644/-12764,-804/342/545,-3/-137/16,#l_sy
r,22041,812889,2/65/41/89,153/336/0/-139,492/2670/553/-523,555/20/-76,0/0,284/2400/-12734,-803/342/575,-5/-150/15,#l_sy
r,22042,812929,3/66/41/89,173/330/0/-149,490/2702/554/-518,556/23/-61,0/0,180/1971/-12586,-762/335/569,-7/-163/16,#l_sy
r,22043,812968,3/67/41/88,165/318/0/-158,497/2735/554/-514,557/28/-46,0/0,26/1816/-12488,-740/329/609,-10/-176/17,#l_sy
r,22044,813009,4/68/41/88,207/317/0/-140,498/2755/554/-509,557/33/-32,0/0,122/1648/-12500,-745/348/580,-14/-189/20,#l_sy
r,22045,813049,5/70/41/87,187/292/0/-85,508/2726/555/-484,557/39/-17,0/0,200/1280/-12318,-696/337/518,-17/-201/24,#l_sy
r,22046,813088,6/71/41/87,190/308/0/-88,542/2785/553/-439,557/45/-4,0/0,260/1216/-12172,-668/334/502,-22/-213/28,#l_sy
r,22047,813129,6/72/41/86,196/299/0/-121,533/2812/613/-453,556/52/9,0/0,262/1190/-12194,-684/349/484,-26/-225/33,#l_sy
r,22048,813168,7/73/41/86,195/293/0/-87,542/2812/621/-470,556/59/22,0/0,162/1172/-12114,-675/343/516,-32/-236/39,#l_sy
