r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,8275,310992,22/69/26/73,-218/0/0/6,-537/2055/484/265,551/-156/-110,0/0,1118/1700/-12280,-667/326/317,-16/-40/-51,#r_sy
r,8276,311032,21/69/26/73,-248/0/0/12,-567/2062/485/250,553/-146/-110,0/0,1468/1444/-11908,-583/301/196,-15/-40/-41,#r_sy
r,8277,311072,20/69/26/73,-231/0/0/10,-559/2059/490/268,555/-135/-110,0/0,1164/1686/-12222,-678/330/312,-14/-40/-32,#r_sy
r,8278,311112,19/69/26/73,-264/0/0/11,-550/2062/487/247,556/-125/-110,0/0,1436/1576/-11928,-619/314/244,-14/-41/-23,#r_sy
r,8279,311151,18/69/26/73,-247/0/0/0,-564/2058/488/246,558/-114/-110,0/0,1426/1716/-12172,-688/332/267,-13/-41/-13,#r_sy
r,8280,311190,17/69/26/73,-220/0/0/0,-564/2065/488/240,560/-103/-110,0/0,1416/1716/-12098,-650/325/305,-12/-41/-4,#r_sy
r,8281,311225,16/69/26/73,-232/0/0/0,-596/2063/487/-90,562/-93/-110,0/0,1470/1778/-12170,-659/329/294,-12/-41/4,#r_sy
r,8282,311265,15/69/26/73,-215/0/0/0,-566/2060/483/7,562/-82/-110,0/0,1508/1756/-12110,-637/322/300,-11/-42/14,#r_sy
r,8283,311298,15/69/26/73,-209/0/0/-3,-534/2058/487/-245,563/-77/-110,0/0,1568/1770/-12168,-643/323/307,-11/-42/19,#r_sy
r,8284,311338,14/69/26/73,-254/0/0/-7,-562/2056/485/-234,564/-65/-110,0/0,1642/1784/-12150,-632/325/300,-10/-42/29,#r_sy
r,8285,311378,13/69/26/73,-226/0/0/-10,-554/2061/482/-264,565/-54/-110,0/0,1852/1808/-12158,-625/326/264,-9/-42/39,#r_sy
r,8286,311418,12/69/26/73,-267/0/0/1,-558/2057/488/-243,566/-44/-110,0/0,1884/1948/-12218,-635/336/285,-9/-42/48,#r_sy
r,8287,311459,11/69/26/73,-231/0/0/13,-581/2060/485/230,566/-33/-110,0/0,2108/1986/-12140,-616/336/225,-8/-42/57,#r_sy
r,8288,311498,10/69/26/73,-205/0/0/6,-558/2061/485/255,567/-23/-110,0/0,2182/2092/-12206,-633/352/222,-7/-42/66,#r_sy
r,8289,311538,9/69/26/73,-250/0/0/15,-549/2057/484/263,567/-13/-110,0/0,2216/2070/-12182,-629/350/202,-7/-43/74,#r_sy
r,8290,311578,8/69/26/73,-239/0/0/11,-544/2058/488/255,567/-4/-110,0/0,2202/2082/-12162,-621/345/215,-6/-43/82,#r_sy
r,8291,311618,8/69/26/73,-185/0/0/15,-549/2060/488/275,567/5/-110,0/0,2192/2124/-12202,-630/344/231,-5/-43/90,#r_sy
r,8292,311658,7/69/26/73,-232/0/0/8,-522/2060/485/248,567/14/-110,0/0,2188/2052/-12120,-599/323/246,-5/-43/98,#r_sy
r,8293,311698,6/69/26/73,-175/0/0/5,-559/2057/486/257,567/23/-110,0/0,2104/2037/-12268,-628/332/272,-4/-43/106,#r_sy
r,8294,311738,5/69/26/73,-190/0/0/0,-532/2056/483/242,567/32/-110,0/0,2036/1906/-12134,-595/313/280,-3/-43/114,#r_sy
r,8295,311778,4/69/26/73,-177/0/0/0,-560/2057/487/231,566/41/-110,0/0,1910/1902/-12222,-617/316/328,-3/-43/122,#r_sy
r,8296,311814,4/69/26/73,-203/0/0/0,-544/2059/485/229,566/50/-110,0/0,1940/1850/-12114,-582/298/308,-2/-43/130,#r_sy
r,8297,311850,3/69/26/73,-185/0/0/0,-541/2060/487/231,565/59/-110,0/0,1858/1837/-12246,-611/307/347,-2/-43/137,#r_sy
r,8298,311886,2/69/26/73,-193/0/0/0,-560/2056/484/231,564/68/-110,0/0,1848/1745/-12158,-581/289/345,-1/-43/145,#r_sy
r,8299,311918,2/69/26/73,-192/0/0/0,-529/2060/485/230,563/73/-110,0/0,1914/1726/-12210,-583/293/341,-1/-43/149,#r_sy
r,8300,311953,1/69/26/73,-220/0/0/0,-565/2058/487/224,562/82/-110,0/0,1802/1679/-12234,-576/284/380,0/-43/158,#r_sy
r,8301,311986,0/69/26/73,-201/0/0/0,-529/2057/484/232,562/91/-110,0/0,1966/1668/-12258,-570/287/350,0/-43/166,#r_sy
r,8302,312019,0/69/26/73,-207/0/0/0,-525/2063/485/232,561/96/-110,0/0,1958/1652/-12254,-557/280/362,0/-43/170,#r_sy
r,8303,312053,-1/69/26/73,-207/0/0/0,-558/2060/487/232,560/105/-110,0/0,1968/1642/-12354,-567/285/378,0/-43/178,#r_sy
r,8304,312087,-2/69/26/73,-219/0/0/0,-538/2058/485/230,558/114/-110,0/0,2108/1644/-12290,-538/273/351,1/-43/186,#r_sy
r,8305,312119,-2/69/26/73,-200/0/0/0,-561/2055/488/231,558/119/-110,0/0,2094/1654/-12350,-544/276/376,1/-43/190,#r_sy
r,8306,312153,-3/69/26/73,-228/0/0/0,-524/2059/482/230,556/128/-110,0/0,2166/1676/-12378,-535/273/366,2/-43/198,#r_sy
r,8307,312188,-4/69/26/73,-212/0/0/0,-549/2057/484/230,555/137/-110,0/0,2304/1654/-12354,-518/271/345,3/-43/207,#r_sy
r,8308,312220,-5/69/26/73,-225/0/0/0,-553/2058/487/231,554/142/-110,0/0,2268/1679/-12508,-542/283/384,3/-43/211,#r_sy
r,8309,312253,-5/69/26/73,-215/0/0/0,-510/2059/484/230,552/151/-110,0/0,2410/1682/-12484,-520/276/335,4/-43/219,#r_sy
r,8310,312288,-6/69/26/73,-171/0/0/0,-533/2058/487/231,551/159/-110,0/0,2438/1686/-12472,-517/277/351,4/-43/226,#r_sy
r,8311,312319,-6/69/26/73,-177/0/0/0,-509/2054/486/229,550/164/-110,0/0,2446/1708/-12566,-527/281/374,4/-43/230,#r_sy
r,8312,312353,-7/69/26/73,-184/0/0/0,-534/2060/485/231,547/172/-110,0/0,2534/1742/-12548,-511/274/352,5/-43/238,#r_sy
