r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,13121,488291,-3/81/56/51,0/41/214/1,-227/2636/1119/31,453/232/126,0/0,-467/-218/-11722,-251/212/272,34/-469/441,#r_sy
r,13122,488326,-3/82/56/51,0/40/174/1,-231/2591/1093/40,451/232/130,0/0,-582/-292/-11652,-213/185/284,35/-479/442,#r_sy
r,13123,488357,-3/82/57/51,0/39/227/-1,-232/2626/1098/363,449/232/131,0/0,-684/-314/-11610,-204/179/306,36/-484/442,#r_sy
r,13124,488397,-3/82/58/51,0/19/175/-2,-228/2582/1098/-21,447/232/135,0/0,-736/-318/-11630,-189/165/302,37/-493/443,#r_sy
r,13125,488439,-3/82/58/51,0/11/180/0,-225/2557/1097/-28,445/232/137,0/0,-798/-318/-11574,-165/150/315,38/-501/444,#r_sy
r,13126,488479,-3/82/59/51,0/-1/199/1,-228/2196/1106/199,442/232/139,0/0,-893/-360/-11560,-116/115/318,39/-509/445,#r_sy
s,0,#r_sy
r,13127,488518,-3/82/60/51,0/-2/175/3,-227/2020/1086/268,441/231/141,0/0,-1022/-432/-11612,-77/87/329,40/-516/445,#r_sy
r,13128,488558,-3/82/61/51,0/0/175/1,-229/2033/1075/272,438/231/143,0/0,-1084/-434/-11688,-73/79/336,41/-523/446,#r_sy
r,13129,488592,-3/82/61/51,0/1/169/1,-230/2485/1078/216,436/231/145,0/0,-1040/-438/-11546,-40/64/325,43/-531/447,#r_sy
r,13130,488633,-3/82/62/51,0/0/208/3,-229/2354/1102/269,434/231/147,0/0,-1012/-412/-11586,-75/88/322,44/-538/448,#r_sy
r,13131,488672,-3/82/63/51,0/0/175/5,-230/2267/1103/433,431/231/149,0/0,-1022/-473/-11496,-86/101/327,45/-546/449,#r_sy
r,13132,488712,-3/82/64/51,0/0/189/13,-229/2267/1059/461,430/230/151,0/0,-1014/-494/-11474,-121/127/336,46/-553/450,#r_sy
r,13133,488753,-3/82/64/51,0/0/150/11,-230/2269/1114/469,427/230/153,0/0,-1008/-506/-11348,-118/129/341,47/-560/450,#r_sy
r,13134,488793,-3/82/65/51,0/0/157/17,-231/2265/1065/496,425/230/155,0/0,-1014/-518/-11296,-116/129/355,49/-567/450,#r_sy
r,13135,488831,-3/82/66/51,0/0/182/22,-228/2268/1057/475,424/229/157,0/0,-1062/-576/-11314,-114/127/353,50/-573/451,#r_sy
r,13136,488871,-3/82/66/51,0/0/156/33,-227/2268/1072/486,422/229/158,0/0,-1178/-638/-11280,-88/108/388,51/-580/451,#r_sy
r,13137,488913,-3/82/67/51,0/0/172/20,-227/2268/1068/497,420/228/160,0/0,-1256/-716/-11230,-45/75/389,52/-586/451,#r_sy
r,13138,488950,-3/82/68/51,0/0/120/42,-228/2269/1028/523,419/227/162,0/0,-1440/-718/-11196,-14/47/439,54/-592/451,#r_sy
r,13139,488990,-3/82/68/51,0/0/158/30,-231/2271/1019/557,417/227/163,0/0,-1420/-746/-11188,-7/44/432,55/-598/451,#r_sy
r,13140,489026,-3/82/69/51,0/0/113/26,-230/2269/1046/524,415/226/165,0/0,-1444/-760/-11138,-1/39/441,56/-604/450,#r_sy
r,13141,489066,-3/82/69/52,0/0/159/23,-231/2268/1060/513,414/225/167,0/0,-1470/-790/-11100,-4/43/444,58/-609/450,#r_sy
r,13142,489106,-3/82/70/52,0/0/128/32,-228/2268/1028/509,412/225/168,0/0,-1532/-816/-11014,4/40/464,59/-615/450,#r_sy
r,13143,489140,-3/82/70/52,0/0/130/38,-230/2266/1026/518,411/224/169,0/0,-1558/-832/-10996,-2/43/476,60/-617/450,#r_sy
r,13144,489174,-3/82/71/52,0/0/139/30,-229/2269/1046/496,409/224/170,0/0,-1462/-835/-10952,-1/45/460,61/-622/450,#r_sy
r,13145,489207,-3/82/71/52,0/0/88/24,-226/2268/1002/503,409/223/172,0/0,-1506/-826/-10954,-17/55/483,62/-627/450,#r_sy
r,13146,489240,-3/82/71/52,0/0/84/44,-229/2267/983/492,408/223/173,0/0,-1504/-856/-10930,-23/61/484,63/-630/450,#r_sy
r,13147,489274,-3/82/72/52,0/0/98/35,-227/2269/1001/478,406/222/174,0/0,-1538/-882/-10902,-20/58/501,64/-634/450,#r_sy
r,13148,489308,-3/82/72/52,0/0/75/29,-231/2272/969/493,405/222/175,0/0,-1512/-878/-10866,-20/58/504,65/-639/450,#r_sy
r,13149,489340,-3/82/72/52,0/0/124/25,-230/2267/955/527,404/221/176,0/0,-1496/-874/-10800,-17/57/519,66/-641/449,#r_sy
r,13150,489374,-3/82/73/52,0/0/61/26,-232/2268/984/516,403/221/177,0/0,-1522/-880/-10798,-30/64/537,67/-644/449,#r_sy
r,13151,489408,-3/82/73/53,0/0/101/17,-230/2270/1006/526,402/220/178,0/0,-1526/-893/-10756,-31/64/543,68/-648/449,#r_sy
r,13152,489440,-3/82/73/53,0/0/61/29,-228/2268/996/503,402/220/178,0/0,-1504/-918/-10788,-51/76/543,69/-649/449,#r_sy
r,13153,489473,-3/82/74/53,0/0/43/18,-229/2266/972/480,401/220/179,0/0,-1530/-930/-10746,-50/76/560,70/-652/450,#r_sy
r,13154,489508,-3/82/74/53,0/0/38/13,-232/2269/907/460,400/219/179,0/0,-1538/-942/-10744,-52/75/570,70/-654/450,#r_sy
r,13155,489540,-3/82/74/53,0/0/55/8,-228/2270/903/474,400/219/179,0/0,-1548/-932/-10748,-58/78/578,71/-655/450,#r_sy
r,13156,489578,-3/82/74/53,0/0/27/0,-226/2267/911/441,399/219/180,0/0,-1496/-947/-10774,-63/81/575,71/-657/450,#r_sy
r,13157,489620,-3/82/74/53,0/0/25/-2,-231/2269/861/202,399/219/180,0/0,-1546/-970/-10788,-69/81/588,72/-658/451,#r_sy
r,13158,489659,-3/82/74/53,0/0/10/-2,-232/2268/860/-24,398/219/180,0/0,-1596/-976/-10772,-61/75/589,72/-659/451,#r_sy
r,13159,489700,-3/82/74/53,0/0/0/-6,-228/2267/800/-29,398/219/180,0/0,-1566/-958/-10796,-72/81/582,72/-659/451,#r_sy
r,13160,489741,-3/82/74/53,0/0/-1/0,-230/2270/554/-42,398/219/180,0/0,-1582/-970/-10822,-74/82/572,72/-659/451,#r_sy
r,13161,489779,-3/82/74/53,0/0/-3/0,-228/2268/352/-16,398/219/180,0/0,-1574/-960/-10860,-78/83/556,72/-659/451,#r_sy
r,13162,489819,-3/82/74/53,0/0/-11/0,-232/2267/318/372,398/219/180,0/0,-1550/-938/-10866,-78/85/546,72/-658/451,#r_sy
r,13163,489854,-3/82/74/53,0/0/-6/3,-231/2268/293/445,399/219/180,0/0,-1488/-935/-10890,-85/91/519,72/-658/451,#r_sy
r,13164,489888,-3/82/74/53,0/0/-2/0,-231/2267/226/440,399/219/180,0/0,-1534/-932/-10940,-95/93/527,72/-658/451,#r_sy
r,13165,489921,-3/82/74/53,0/0/-2/0,-228/2268/303/269,399/219/180,0/0,-1536/-946/-10948,-86/88/516,72/-658/451,#r_sy
r,13166,489960,-3/82/74/53,0/0/0/0,-232/2266/318/71,399/219/180,0/0,-1536/-942/-11050,-110/99/514,71/-658/451,#r_sy
r,13167,490001,-3/82/74/53,0/0/0/3,-229/2267/505/104,399/219/180,0/0,-1526/-942/-11106,-121/101/516,71/-658/451,#r_sy
r,13168,490040,-3/82/74/53,0/0/0/3,-231/2268/553/83,399/219/180,0/0,-1578/-972/-11146,-134/104/535,71/-658/451,#r_sy
r,13169,490080,-3/82/74/53,0/0/0/4,-228/2267/553/92,399/219/180,0/0,-1610/-988/-11202,-143/104/543,71/-658/451,#r_sy
r,13170,490121,-3/82/74/53,0/0/0/2,-229/2271/552/94,399/219/180,0/0,-1637/-1022/-11272,-156/107/552,71/-658/451,#r_sy
r,13171,490160,-3/82/74/53,0/0/0/2,-226/2269/551/105,399/219/180,0/0,-1692/-1022/-11328,-164/105/573,71/-658/451,#r_sy
r,13172,490201,-3/82/74/53,0/0/0/2,-228/2269/553/112,399/219/180,0/0,-1702/-1018/-11402,-180/110/577,71/-658/451,#r_sy
r,13173,490240,-3/82/74/53,0/0/0/2,-229/2268/554/127,399/219/180,0/0,-1729/-1036/-11462,-187/108/587,71/-658/451,#r_sy
r,13174,490280,-3/82/74/53,0/0/0/1,-228/2265/552/128,399/219/180,0/0,-1774/-1064/-11520,-195/108/597,71/-658/451,#r_sy
r,13175,490316,-3/82/74/53,0/0/0/1,-232/2268/555/35,399/219/180,0/0,-1840/-1090/-11514,-188/100/613,71/-658/451,#r_sy
r,13176,490349,-3/82/74/53,0/0/0/1,-231/2266/550/67,399/219/180,0/0,-1856/-1098/-11552,-193/98/623,71/-658/451,#r_sy
r,13177,490382,-3/82/74/53,0/0/0/-1,-229/2266/554/352,399/219/180,0/0,-1864/-1094/-11592,-200/99/625,71/-658/451,#r_sy
r,13178,490416,-3/82/74/53,0/0/0/-2,-233/2268/555/359,399/219/180,0/0,-1895/-1096/-11638,-201/97/633,71/-658/451,#r_sy
r,13179,490449,-3/82/74/53,0/0/0/-2,-231/2269/553/362,399/219/180,0/0,-1912/-1130/-11706,-216/104/634,71/-658/451,#r_sy
r,13180,490488,-3/82/74/53,0/0/0/-4,-231/2268/555/87,399/219/180,0/0,-1940/-1150/-11694,-208/98/639,71/-658/451,#r_sy
s,0,#r_sy
r,13181,490528,-3/82/74/53,0/0/0/-2,-229/2268/552/109,399/219/180,0/0,-1932/-1170/-11734,-219/102/640,71/-658/451,#r_sy
r,13182,490568,-3/82/74/53,0/0/0/-2,-229/2268/554/125,399/219/180,0/0,-1932/-1184/-11738,-219/104/642,71/-658/451,#r_sy
r,13183,490608,-3/82/74/53,0/0/0/-5,-227/2270/552/98,399/219/180,0/0,-1945/-1180/-11740,-220/104/645,71/-658/451,#r_sy
r,13184,490648,-3/82/74/53,0/0/0/-3,-228/2266/554/120,399/219/180,0/0,-1978/-1216/-11810,-235/113/650,71/-658/451,#r_sy
r,13185,490688,-3/82/74/53,0/-5/0/-4,-225/2043/550/125,399/219/180,0/0,-1964/-1188/-11822,-240/116/649,71/-658/451,#r_sy
r,13186,490728,-3/82/74/53,0/-7/0/-4,-230/2015/557/120,399/219/180,0/0,-1929/-1196/-11820,-248/122/646,71/-657/451,#r_sy
r,13187,490768,-3/82/74/53,0/-15/0/-4,-229/2011/554/115,399/219/179,0/0,-1937/-1212/-11972,-267/144/650,71/-657/451,#r_sy
r,13188,490807,-3/82/74/53,0/-17/0/-4,-228/2002/554/108,399/219/179,0/0,-1956/-1186/-11976,-287/148/652,71/-656/450,#r_sy
r,13189,490848,-3/82/74/53,0/-29/0/-2,-228/1969/552/107,399/219/178,0/0,-1882/-1194/-11970,-298/156/644,71/-655/450,#r_sy
r,13190,490888,-3/81/74/53,0/-32/0/-3,-227/1934/552/116,400/219/177,0/0,-1850/-1164/-12040,-330/177/644,70/-654/450,#r_sy
r,13191,490922,-3/81/74/53,0/-51/0/0,-229/1903/555/36,400/219/176,0/0,-1804/-1122/-12084,-353/193/644,70/-653/450,#r_sy
r,13192,490956,-3/81/74/53,0/-46/0/0,-229/1926/554/39,401/219/175,0/0,-1771/-1130/-12108,-367/204/641,69/-652/449,#r_sy
r,13193,490991,-3/81/74/53,0/-70/0/0,-229/1924/552/56,401/219/173,0/0,-1742/-1122/-12122,-372/208/637,69/-650/448,#r_sy
r,13194,491023,-3/81/74/53,0/-43/0/0,-226/1899/552/113,402/219/172,0/0,-1768/-1106/-12168,-388/218/644,68/-648/448,#r_sy
r,13195,491057,-3/81/74/53,0/-48/0/0,-228/1840/554/128,402/220/170,0/0,-1737/-1098/-12150,-378/213/638,68/-646/447,#r_sy
r,13196,491091,-3/80/74/53,0/-67/0/0,-230/1969/553/139,403/220/168,0/0,-1632/-1044/-12160,-382/217/621,67/-643/447,#r_sy
r,13197,491122,-3/80/74/53,0/-64/0/0,-229/1865/553/48,403/220/166,0/0,-1532/-988/-12176,-380/218/610,66/-642/446,#r_sy
r,13198,491157,-3/80/74/53,0/-77/0/1,-227/1832/553/231,403/220/164,0/0,-1544/-972/-12180,-378/217/617,65/-639/445,#r_sy
r,13199,491190,-3/80/74/53,0/-109/0/0,-229/1757/552/126,404/220/161,0/0,-1502/-982/-12210,-380/219/614,64/-635/444,#r_sy
r,13200,491222,-3/79/74/53,0/-86/0/-2,-234/1739/555/339,405/220/159,0/0,-1432/-958/-12240,-381/221/605,64/-633/444,#r_sy
r,13201,491256,-3/79/74/53,0/-108/0/-1,-231/1755/552/364,406/220/156,0/0,-1392/-960/-12310,-396/231/603,63/-629/443,#r_sy
r,13202,491291,-3/79/74/53,0/-96/0/-2,-228/1803/551/361,407/220/152,0/0,-1384/-942/-12294,-386/227/603,62/-625/442,#r_sy
r,13203,491322,-3/78/74/53,0/-113/0/1,-229/1761/555/43,408/220/150,0/0,-1300/-916/-12318,-397/235/595,61/-622/441,#r_sy
r,13204,491356,-3/78/74/53,0/-150/0/1,-230/1764/553/42,409/220/146,0/0,-1194/-888/-12334,-401/239/583,60/-618/440,#r_sy
r,13205,491390,-3/77/74/53,0/-119/0/1,-229/1693/551/51,409/220/142,0/0,-1142/-884/-12366,-408/246/581,58/-612/439,#r_sy
r,13206,491422,-3/77/74/53,0/-120/0/-2,-228/1780/553/353,410/220/140,0/0,-1166/-872/-12460,-432/261/596,58/-610/439,#r_sy
r,13207,491456,-3/76/74/53,0/-133/0/-2,-229/1713/552/79,411/220/135,0/0,-1050/-872/-12398,-409/252/574,57/-604/438,#r_sy
r,13208,491491,-3/76/74/53,0/-163/0/0,-229/1668/551/172,413/220/130,0/0,-958/-802/-12472,-429/265/567,55/-599/436,#r_sy
r,13209,491522,-3/76/74/53,0/-146/0/0,-228/1674/552/203,413/220/128,0/0,-926/-782/-12504,-437/272/570,55/-596/436,#r_sy
r,13210,491563,-3/75/74/53,0/-144/0/1,-229/1760/549/443,414/220/122,0/0,-960/-798/-12554,-444/277/581,53/-590/435,#r_sy
r,13211,491603,-3/74/74/53,0/-136/0/-1,-227/1723/552/261,415/220/117,0/0,-800/-782/-12566,-445/280/555,52/-583/433,#r_sy
r,13212,491643,-3/74/74/53,0/-147/0/-1,-226/1726/550/-17,416/220/111,0/0,-760/-752/-12642,-463/293/555,51/-577/432,#r_sy
r,13213,491683,-3/73/74/53,0/-177/0/0,-227/1703/552/-28,418/221/106,0/0,-846/-766/-12632,-452/285/580,49/-571/431,#r_sy
r,13214,491723,-3/72/74/53,0/-178/0/0,-227/1703/552/-18,419/221/100,0/0,-692/-764/-12694,-461/295/551,48/-564/430,#r_sy
