r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,17392,642818,48/99/38/34,168/45/0/275,513/2552/487/804,453/-188/188,0/0,-1682/-417/-11068,-120/60/277,-384/-289/-26,#r_sy
r,17393,642858,49/99/38/35,124/30/0/274,501/2533/486/819,451/-197/193,0/0,-1704/-478/-11082,-104/45/287,-389/-287/-42,#r_sy
r,17394,642898,49/99/38/36,129/35/0/282,495/2553/485/838,449/-207/198,0/0,-1782/-464/-10980,-61/17/348,-393/-284/-59,#r_sy
r,17395,642938,50/99/38/37,102/11/0/282,458/2494/487/839,447/-216/202,0/0,-1752/-512/-11008,-60/17/366,-395/-281/-75,#r_sy
r,17396,642978,50/99/38/39,119/-1/0/307,512/2437/551/819,444/-226/206,0/0,-1750/-570/-11018,-64/22/403,-397/-278/-92,#r_sy
r,17397,643018,51/99/38/40,114/-5/0/324,392/1967/553/787,442/-235/210,0/0,-1712/-628/-10986,-48/15/430,-399/-276/-108,#r_sy
r,17398,643058,51/99/38/41,91/-4/0/332,412/1931/553/816,440/-244/214,0/0,-1686/-716/-10952,-44/12/461,-400/-273/-124,#r_sy
r,17399,643098,51/99/38/42,87/0/0/327,408/1962/554/813,437/-253/218,0/0,-1656/-843/-10948,-28/0/492,-401/-271/-140,#r_sy
r,17400,643138,52/99/38/44,74/0/0/344,363/2200/552/800,435/-261/222,0/0,-1616/-952/-10902,0/-2/512,-402/-270/-155,#r_sy
r,17401,643178,52/99/38/45,42/0/0/342,387/2201/551/803,432/-269/226,0/0,-1560/-1042/-10824,-12/-13/530,-403/-268/-171,#r_sy
r,17402,643218,52/99/38/47,30/0/0/351,391/2200/552/801,431/-277/230,0/0,-1554/-1150/-10838,-33/-5/542,-403/-267/-186,#r_sy
r,17403,643258,52/99/38/48,14/0/0/349,305/2201/553/817,428/-284/234,0/0,-1612/-1266/-10820,-35/-10/582,-404/-267/-201,#r_sy
r,17404,643298,52/99/38/49,11/0/0/359,266/2265/552/815,425/-291/238,0/0,-1564/-1384/-10784,-35/-9/570,-404/-266/-216,#r_sy
r,17405,643338,52/99/38/51,0/0/0/356,254/2268/554/819,423/-298/241,0/0,-1652/-1396/-10710,-26/-21/610,-404/-266/-230,#r_sy
r,17406,643378,52/99/38/52,0/0/0/349,-124/2269/553/827,420/-304/245,0/0,-1726/-1498/-10678,-20/-24/627,-404/-266/-244,#r_sy
r,17407,643411,52/99/38/54,-7/0/0/348,-227/2268/553/813,418/-310/249,0/0,-1784/-1562/-10690,-29/-23/645,-404/-267/-258,#r_sy
